review,sentiment
its a superb movie,positive
its a crap,negative
"its somewhat okay
",neutral
The climax is wawa,neutral
The climax is fantastic,positive
the color of product is bullshit,negative
the story is a scrap,negative
its a  fantastic movie,positive
the movie is bullshit,negative
move is kind of okay,positive
its an  above average movie,positive
its okay,neutral
its below average,negative
its above average,neutral
The product is entirely destructed\,negative
its a fantastic movie,positive
its oaky,positive
its okay,positive
its not bad,neutral
not as expected,negative
not as expected but still usable,negative
the product is somewhat usable,neutral
its a cool sequence,positive
its crap,negative
not bad,neutral
was okay not much,negative
no comments,negative
its not bad,neutral
somewhat good,positive
not boring ,positive
not boring but ok,neutral
